"host_since","host_is_superhost","neighbourhood_cleansed","room_type","accommodates","price","review_scores_rating","number_of_reviews","minimum_nights","reviews_per_month","bedrooms","beds","availability_30","last_review","license","instant_bookable","prop_type_simplified","price_4_nights"
2011-08-23,FALSE,"Top 6-10","Entire home/apt",2,99,4.5,2,1,0.03,1,1,0,2015-07-27,"no",FALSE,"Entire rental unit",396
2011-07-29,FALSE,"Top 6-10","Entire home/apt",4,246,4.78,20,3,0.31,2,3,0,2019-08-14,"no",FALSE,"Entire rental unit",984
2011-05-18,FALSE,"Top 5","Entire home/apt",2,151,4.95,41,2,0.85,1,1,0,2018-11-13,"no",FALSE,"Entire rental unit",604
2011-09-04,TRUE,"Top 5","Private room",3,99,4.83,169,3,1.58,1,2,1,2019-12-01,"yes",FALSE,"Private room in rental unit",396
2011-09-09,FALSE,"Top 5","Private room",2,245,5,10,2,0.42,1,1,1,2020-01-21,"yes",FALSE,"Other",980
2011-09-14,TRUE,"Top 6-10","Entire home/apt",2,119,4.71,135,1,1.33,1,1,0,2020-01-03,"yes",FALSE,"Entire rental unit",476
2011-08-22,TRUE,"Top 5","Entire home/apt",4,264,4.82,112,2,1.03,2,3,16,2021-08-17,"yes",TRUE,"Other",1056
2011-10-16,TRUE,"Top 6-10","Private room",2,122,4.86,344,2,3.66,1,0,30,2019-09-22,"yes",FALSE,"Private room in rental unit",488
2011-10-20,TRUE,"Top 11-15","Entire home/apt",2,79,4.47,102,4,0.89,1,1,0,2019-06-22,"no",FALSE,"Entire rental unit",316
2011-10-22,FALSE,"Top 5","Entire home/apt",4,385,4.89,11,4,0.1,2,2,0,2019-10-23,"yes",FALSE,"Entire residential home",1540
2011-10-25,TRUE,"Top 5","Private room",2,149,4.91,81,2,1.1,1,1,30,2019-09-22,"no",FALSE,"Other",596
2011-10-26,FALSE,"Top 5","Entire home/apt",2,203,4.92,50,2,1.29,1,1,9,2021-08-19,"yes",FALSE,"Entire rental unit",812
2011-10-28,FALSE,"Top 5","Entire home/apt",4,149,4.84,96,2,0.84,2,2,13,2021-08-08,"yes",FALSE,"Other",596
2011-11-06,TRUE,"Top 5","Private room",2,88,4.83,113,3,1.03,1,1,0,2019-10-07,"yes",FALSE,"Private room in rental unit",352
2011-11-10,FALSE,"Top 6-10","Entire home/apt",2,85,4.72,22,2,0.77,1,1,0,2012-09-11,"no",TRUE,"Entire rental unit",340
2011-11-23,FALSE,"Top 11-15","Entire home/apt",2,121,4.85,43,4,0.42,1,1,4,2019-08-10,"yes",FALSE,"Other",484
2011-11-27,FALSE,"Top 6-10","Entire home/apt",2,125,4.88,20,4,0.18,1,1,0,2018-05-05,"no",FALSE,"Entire rental unit",500
2011-11-28,FALSE,"Top 5","Entire home/apt",12,707,4.52,109,2,1.1,5,12,12,2019-05-29,"yes",FALSE,"Entire rental unit",2828
2011-12-10,TRUE,"Top 5","Private room",2,97,4.88,292,3,2.92,1,1,1,2021-08-26,"yes",TRUE,"Private room in rental unit",388
2011-12-10,TRUE,"Top 5","Private room",2,97,4.85,342,3,3.01,1,1,6,2021-09-05,"yes",TRUE,"Other",388
2011-10-04,FALSE,"Top 6-10","Private room",2,80,4.67,8,2,0.12,1,1,0,2018-02-12,"no",FALSE,"Other",320
2011-12-16,TRUE,"Top 6-10","Private room",2,105,4.86,209,3,1.77,1,1,30,2019-05-27,"yes",FALSE,"Private room in rental unit",420
2011-12-19,FALSE,"Top 6-10","Entire home/apt",3,74,4.6,5,1,0.06,2,3,0,2015-06-01,"no",FALSE,"Entire residential home",296
2011-12-30,FALSE,"Top 5","Entire home/apt",4,125,4.79,83,3,0.71,1,2,0,2016-01-31,"no",FALSE,"Entire rental unit",500
