"host_since","host_is_superhost","neighbourhood_cleansed","room_type","accommodates","price","review_scores_rating","number_of_reviews","minimum_nights","reviews_per_month","bedrooms","beds","availability_30","last_review","license","instant_bookable","prop_type_simplified","price_4_nights"
2014-10-06,FALSE,"Top 5","Entire home/apt",5,230,4.89,9,4,0.18,3,6,0,2018-10-23,"no",FALSE,"Entire residential home",920
2014-03-12,FALSE,"Top 5","Entire home/apt",4,115,4.81,17,2,0.25,2,2,0,2017-09-24,"no",FALSE,"Entire rental unit",460
2015-05-17,FALSE,"Top 6-10","Entire home/apt",2,90,4.78,9,3,0.12,1,1,0,2019-01-21,"no",FALSE,"Entire rental unit",360
2015-04-30,FALSE,"Top 5","Entire home/apt",3,275,5,23,4,0.33,2,2,0,2019-12-27,"no",FALSE,"Entire rental unit",1100
2013-08-18,TRUE,"Top 11-15","Entire home/apt",6,145,4.97,33,3,0.66,4,3,0,2019-08-01,"yes",FALSE,"Entire townhouse",580
2015-05-17,FALSE,"Top 6-10","Entire home/apt",4,175,5,6,1,0.1,2,2,0,2016-07-16,"no",FALSE,"Entire rental unit",700
2012-05-09,TRUE,"Top 6-10","Entire home/apt",4,445,4.82,35,3,0.46,4,8,0,2019-08-22,"yes",FALSE,"Other",1780
2015-05-17,FALSE,"Top 6-10","Entire home/apt",2,133,4.79,25,2,0.33,1,1,0,2017-02-05,"no",FALSE,"Entire rental unit",532
2013-08-18,FALSE,"Top 6-10","Entire home/apt",4,145,4.67,21,4,0.28,2,4,0,2019-10-24,"no",FALSE,"Entire rental unit",580
2012-12-11,FALSE,"Top 11-15","Entire home/apt",4,110,4.92,12,4,0.26,2,2,0,2018-08-18,"no",FALSE,"Entire residential home",440
2015-05-18,TRUE,"Top 5","Private room",2,90,4.82,609,1,7.99,1,3,30,2021-08-25,"yes",FALSE,"Private room in rental unit",360
2015-05-18,TRUE,"Top 5","Entire home/apt",4,104,5,24,3,0.32,2,3,0,2019-08-01,"yes",FALSE,"Entire rental unit",416
2014-03-29,FALSE,"Top 5","Entire home/apt",6,400,4.91,23,2,0.4,4,4,0,2019-10-12,"yes",FALSE,"Other",1600
2015-05-19,FALSE,"Top 5","Entire home/apt",3,105,4.5,2,2,0.03,2,2,0,2015-06-29,"no",FALSE,"Entire rental unit",420
2015-01-23,FALSE,"Top 5","Entire home/apt",2,210,4.89,21,3,0.32,1,1,27,2019-06-17,"no",FALSE,"Entire rental unit",840
2013-05-20,FALSE,"Top 5","Entire home/apt",4,225,4.92,13,4,0.2,2,3,0,2018-12-16,"no",FALSE,"Entire rental unit",900
2013-09-26,TRUE,"Top 11-15","Entire home/apt",3,85,4.89,121,3,1.58,1,2,7,2020-01-05,"yes",FALSE,"Other",340
2014-01-08,FALSE,"Top 5","Entire home/apt",2,95,5,4,4,0.05,1,1,0,2015-07-01,"no",FALSE,"Entire rental unit",380
2015-05-20,FALSE,"Top 5","Entire home/apt",2,97,4.91,35,4,0.47,2,2,0,2019-07-27,"yes",FALSE,"Entire rental unit",388
2015-05-20,FALSE,"Top 5","Entire home/apt",4,295,4.79,33,2,0.44,2,4,0,2019-03-24,"no",FALSE,"Entire townhouse",1180
2015-05-20,FALSE,"Top 5","Entire home/apt",4,266,5,3,4,0.04,3,3,0,2016-05-09,"no",FALSE,"Entire residential home",1064
2015-01-14,FALSE,"Top 6-10","Entire home/apt",2,100,4.65,26,2,0.35,1,1,0,2016-06-27,"no",FALSE,"Entire rental unit",400
2013-10-02,FALSE,"Top 5","Entire home/apt",2,160,5,22,3,0.34,1,1,0,2018-07-25,"yes",FALSE,"Entire rental unit",640
2013-04-01,FALSE,"Top 6-10","Entire home/apt",6,180,4.88,8,4,0.1,3,3,0,2016-05-16,"no",FALSE,"Entire rental unit",720
2014-11-16,FALSE,"Top 6-10","Entire home/apt",2,155,4.75,4,2,0.05,1,1,0,2015-06-06,"no",FALSE,"Entire rental unit",620
2015-05-21,FALSE,"Top 5","Entire home/apt",2,110,4.4,5,2,0.07,1,1,0,2015-08-23,"no",FALSE,"Other",440
2015-05-21,FALSE,"Top 5","Private room",3,93,4.36,140,1,1.98,1,2,0,2020-07-06,"no",TRUE,"Other",372
2014-09-09,FALSE,"Top 6-10","Private room",2,100,4,9,3,0.12,2,4,0,2016-08-22,"yes",FALSE,"Other",400
2015-05-23,TRUE,"Top 5","Entire home/apt",2,139,4.96,81,2,1.29,1,1,0,2021-08-29,"yes",FALSE,"Entire rental unit",556
2013-04-11,TRUE,"Top 6-10","Entire home/apt",2,155,4.88,78,1,1.03,1,1,14,2020-03-10,"yes",FALSE,"Entire rental unit",620
2015-05-23,FALSE,"Top 6-10","Entire home/apt",2,148,4.93,41,2,0.63,1,1,0,2019-12-30,"yes",FALSE,"Entire rental unit",592
2015-01-18,FALSE,"Top 5","Private room",3,79,4.64,73,2,0.97,1,3,0,2017-12-22,"no",FALSE,"Other",316
2012-01-31,FALSE,"Top 6-10","Entire home/apt",2,100,4.82,11,3,0.15,1,1,0,2015-07-20,"no",FALSE,"Entire rental unit",400
2014-03-30,FALSE,"Top 5","Entire home/apt",2,95,4.75,12,3,0.17,1,1,0,2015-11-12,"no",TRUE,"Entire rental unit",380
2013-07-13,FALSE,"Top 6-10","Entire home/apt",4,320,4.63,39,4,0.53,5,5,0,2021-08-11,"yes",FALSE,"Entire residential home",1280
2013-10-06,TRUE,"Top 5","Private room",2,85,4.87,217,2,2.87,1,1,0,2019-11-06,"yes",FALSE,"Private room in rental unit",340
2015-05-25,FALSE,"Top 11-15","Entire home/apt",2,200,4.85,28,3,0.37,1,1,0,2021-08-04,"yes",FALSE,"Entire rental unit",800
2013-05-02,FALSE,"Top 11-15","Entire home/apt",3,120,4.75,4,3,0.05,1,1,0,2018-09-09,"no",TRUE,"Entire rental unit",480
2015-05-25,TRUE,"Top 5","Entire home/apt",4,210,4.87,52,2,0.73,2,2,0,2019-10-19,"yes",FALSE,"Entire rental unit",840
2014-04-20,FALSE,"Top 6-10","Private room",2,120,4.86,35,2,0.5,1,1,0,2019-08-25,"no",FALSE,"Private room in rental unit",480
2015-01-19,FALSE,"Top 5","Entire home/apt",2,105,4.4,47,2,0.75,1,1,0,2019-06-09,"no",FALSE,"Entire rental unit",420
2014-08-03,FALSE,"Top 6-10","Private room",2,74,4.72,82,2,1.15,1,1,0,2019-01-03,"no",FALSE,"Private room in rental unit",296
2015-04-03,FALSE,"Top 6-10","Entire home/apt",2,159,4.94,31,2,0.52,1,1,0,2020-08-21,"yes",FALSE,"Entire rental unit",636
2013-09-11,FALSE,"Top 6-10","Private room",2,50,4.67,6,2,0.08,1,1,0,2018-12-16,"no",FALSE,"Private room in rental unit",200
2013-09-10,FALSE,"Top 5","Entire home/apt",4,165,4.76,21,4,0.35,1,1,0,2017-04-16,"no",TRUE,"Entire rental unit",660
2015-05-25,FALSE,"Top 6-10","Entire home/apt",2,169,4.92,12,4,0.16,1,1,0,2017-05-08,"no",FALSE,"Entire rental unit",676
2015-05-26,FALSE,"Top 11-15","Entire home/apt",2,45,4.5,2,2,0.03,1,1,0,2018-01-01,"no",FALSE,"Entire residential home",180
2015-03-02,FALSE,"Top 6-10","Entire home/apt",2,157,5,5,4,0.08,2,1,0,2015-10-18,"no",FALSE,"Entire rental unit",628
2015-05-26,FALSE,"Top 6-10","Entire home/apt",4,130,4.83,7,2,0.11,2,2,0,2016-05-30,"no",FALSE,"Entire rental unit",520
2015-05-26,FALSE,"Remaining","Private room",2,52,4.46,84,3,1.74,1,1,0,2019-08-17,"no",FALSE,"Private room in rental unit",208
2013-01-21,FALSE,"Top 11-15","Entire home/apt",4,400,4.92,12,2,0.18,3,3,6,2016-06-25,"no",FALSE,"Entire rental unit",1600
2013-09-08,FALSE,"Top 5","Private room",2,65,4.5,12,3,0.19,1,1,0,2018-08-05,"no",FALSE,"Private room in rental unit",260
2014-04-28,FALSE,"Top 5","Entire home/apt",3,199,4.56,56,2,0.74,1,2,23,2019-09-15,"yes",FALSE,"Other",796
2015-05-27,FALSE,"Top 5","Entire home/apt",2,48,4.75,4,3,0.05,1,1,0,2018-06-17,"no",FALSE,"Entire rental unit",192
2013-07-10,FALSE,"Top 5","Entire home/apt",2,122,4.89,10,2,0.24,1,1,0,2015-10-20,"no",FALSE,"Entire rental unit",488
2014-10-13,TRUE,"Top 5","Private room",4,175,4.91,230,2,4.18,1,1,7,2020-03-05,"yes",TRUE,"Private room in rental unit",700
2014-07-05,FALSE,"Top 5","Entire home/apt",4,50,5,5,1,0.09,2,1,0,2017-07-27,"no",FALSE,"Entire rental unit",200
2015-05-25,FALSE,"Top 6-10","Entire home/apt",4,200,4.8,10,3,0.14,3,4,0,2019-08-22,"no",FALSE,"Entire townhouse",800
2015-01-18,FALSE,"Top 11-15","Private room",3,95,4.89,185,2,2.5,1,2,12,2019-11-03,"yes",TRUE,"Other",380
2015-05-29,TRUE,"Top 5","Entire home/apt",2,200,4.92,26,4,0.43,1,1,0,2020-03-01,"yes",FALSE,"Entire rental unit",800
2014-03-13,FALSE,"Top 6-10","Entire home/apt",4,140,5,1,1,0.01,2,2,0,2015-07-06,"no",FALSE,"Entire rental unit",560
2015-05-29,FALSE,"Top 5","Entire home/apt",4,245,5,3,3,0.05,3,4,0,2017-08-20,"no",FALSE,"Entire rental unit",980
2015-05-29,FALSE,"Top 11-15","Entire home/apt",2,120,4.78,9,3,0.12,1,1,0,2019-11-28,"no",FALSE,"Entire rental unit",480
2015-05-29,FALSE,"Top 5","Entire home/apt",2,161,5,2,3,0.03,1,1,0,2015-08-21,"no",FALSE,"Entire rental unit",644
2012-05-07,FALSE,"Top 5","Entire home/apt",2,150,4.83,19,3,0.25,1,1,0,2017-04-20,"no",FALSE,"Entire rental unit",600
2015-05-30,TRUE,"Top 5","Private room",2,113,5,8,1,0.11,1,1,16,2021-07-04,"yes",FALSE,"Private room in rental unit",452
2015-05-30,FALSE,"Top 5","Entire home/apt",2,95,4,1,2,0.01,1,1,0,2015-06-21,"no",FALSE,"Entire rental unit",380
2013-07-10,FALSE,"Top 6-10","Entire home/apt",2,100,4.82,22,2,0.31,2,1,0,2018-03-24,"no",FALSE,"Entire rental unit",400
2015-05-30,FALSE,"Top 5","Entire home/apt",2,149,5,1,2,0.01,2,1,0,2015-09-14,"no",FALSE,"Entire rental unit",596
2012-09-26,FALSE,"Top 6-10","Entire home/apt",2,139,4.9,20,3,0.33,1,1,0,2018-06-17,"no",FALSE,"Entire rental unit",556
2012-07-24,FALSE,"Top 11-15","Private room",4,82,4.39,88,2,1.17,1,3,30,2019-07-28,"yes",FALSE,"Other",328
2015-01-19,FALSE,"Top 6-10","Entire home/apt",5,120,4.62,13,2,0.17,3,4,0,2016-03-30,"no",FALSE,"Entire residential home",480
2014-03-16,FALSE,"Top 6-10","Entire home/apt",6,190,4.8,5,3,0.07,4,6,0,2015-08-14,"no",FALSE,"Entire residential home",760
2013-05-03,FALSE,"Top 6-10","Entire home/apt",4,280,4.88,8,3,0.31,4,3,0,2018-05-13,"yes",FALSE,"Entire rental unit",1120
2015-03-02,FALSE,"Top 6-10","Entire home/apt",4,175,4.92,13,3,0.18,3,4,0,2019-08-10,"no",TRUE,"Entire residential home",700
2015-05-31,FALSE,"Top 5","Entire home/apt",3,121,4.84,43,2,0.56,1,1,0,2019-08-19,"yes",FALSE,"Entire rental unit",484
2015-05-30,FALSE,"Top 5","Private room",2,80,3.25,6,1,0.09,1,1,0,2015-06-06,"no",FALSE,"Private room in rental unit",320
2015-06-01,FALSE,"Top 6-10","Entire home/apt",4,175,4,2,1,0.03,2,2,0,2016-09-03,"no",FALSE,"Entire rental unit",700
2011-04-27,FALSE,"Top 5","Entire home/apt",4,275,4.92,26,1,0.35,2,4,5,2021-07-01,"yes",FALSE,"Entire residential home",1100
2011-07-26,FALSE,"Top 6-10","Entire home/apt",2,185,4.8,5,3,0.08,1,1,0,2017-07-15,"no",FALSE,"Entire rental unit",740
2015-06-02,TRUE,"Top 6-10","Entire home/apt",5,110,4.82,22,2,0.3,2,3,0,2020-01-05,"no",FALSE,"Entire rental unit",440
2013-06-16,FALSE,"Top 6-10","Entire home/apt",2,147,4.9,10,3,0.2,1,1,0,2017-05-29,"no",FALSE,"Entire rental unit",588
2015-06-03,FALSE,"Top 6-10","Entire home/apt",4,275,5,5,3,0.13,2,3,0,2019-08-01,"no",TRUE,"Other",1100
2015-06-03,FALSE,"Top 6-10","Private room",2,74,4.53,285,1,3.86,1,1,0,2020-02-19,"no",FALSE,"Private room in rental unit",296
2014-01-15,FALSE,"Top 5","Private room",2,95,4.85,345,2,4.68,1,0,0,2020-03-09,"yes",TRUE,"Other",380
2013-05-14,FALSE,"Top 5","Entire home/apt",2,146,4.63,9,1,0.38,1,1,0,2016-05-31,"no",FALSE,"Entire rental unit",584
2013-12-19,FALSE,"Top 6-10","Private room",2,68,4.42,24,2,0.39,1,1,0,2017-05-13,"no",FALSE,"Private room in rental unit",272
2014-12-17,TRUE,"Top 5","Entire home/apt",2,198,4.67,62,1,0.83,1,1,30,2019-09-05,"no",FALSE,"Entire rental unit",792
2013-07-14,FALSE,"Top 6-10","Entire home/apt",2,115,4.87,23,4,0.35,1,1,0,2019-03-16,"no",FALSE,"Entire rental unit",460
2015-05-31,FALSE,"Top 11-15","Entire home/apt",4,139,4.89,18,3,0.71,3,4,0,2019-03-25,"no",FALSE,"Entire residential home",556
2012-11-11,FALSE,"Top 11-15","Entire home/apt",4,170,4.81,44,2,0.77,1,2,0,2019-06-23,"no",FALSE,"Entire rental unit",680
2012-10-20,FALSE,"Top 5","Entire home/apt",2,129,4.83,12,2,0.29,1,1,0,2019-09-15,"no",FALSE,"Entire rental unit",516
2013-07-09,TRUE,"Top 6-10","Entire home/apt",2,150,4.79,70,3,1.23,1,1,0,2019-06-12,"no",TRUE,"Entire rental unit",600
2015-06-05,FALSE,"Top 5","Entire home/apt",4,170,4.83,36,2,0.5,1,2,0,2019-07-30,"no",FALSE,"Entire rental unit",680
2015-05-07,FALSE,"Top 5","Entire home/apt",3,264,4.96,27,4,0.36,1,1,0,2019-08-14,"no",FALSE,"Entire rental unit",1056
2015-01-06,FALSE,"Top 6-10","Entire home/apt",4,200,4.67,15,1,0.3,2,2,0,2018-07-07,"no",TRUE,"Entire residential home",800
2014-11-14,FALSE,"Top 6-10","Entire home/apt",2,100,4.93,15,3,0.23,1,1,0,2016-11-14,"no",FALSE,"Entire rental unit",400
2012-06-03,FALSE,"Top 5","Entire home/apt",2,164,4.67,18,3,0.27,1,1,12,2015-10-02,"yes",FALSE,"Entire rental unit",656
2015-06-07,FALSE,"Top 6-10","Entire home/apt",2,149,4.44,32,2,0.53,1,1,29,2018-12-02,"no",FALSE,"Entire rental unit",596
2014-07-28,FALSE,"Top 5","Entire home/apt",4,170,4.89,18,3,0.24,2,2,0,2019-08-04,"no",TRUE,"Entire rental unit",680
2015-06-07,FALSE,"Top 5","Entire home/apt",3,210,4.92,14,4,0.23,2,1,0,2018-09-01,"yes",FALSE,"Other",840
2014-07-28,FALSE,"Top 6-10","Entire home/apt",2,112,5,11,4,0.15,1,1,0,2016-10-26,"yes",FALSE,"Entire rental unit",448
2013-09-27,FALSE,"Top 5","Entire home/apt",4,200,5,3,2,0.04,4,4,0,2016-05-08,"no",FALSE,"Entire townhouse",800
2014-05-28,FALSE,"Top 6-10","Entire home/apt",2,250,5,9,2,0.14,1,1,8,2017-09-21,"no",FALSE,"Entire rental unit",1000
2015-06-08,FALSE,"Top 5","Entire home/apt",4,250,4.87,47,2,0.77,3,3,0,2019-07-19,"yes",FALSE,"Entire townhouse",1000
2014-02-02,FALSE,"Top 5","Entire home/apt",6,295,5,5,1,0.1,3,3,0,2015-07-20,"no",FALSE,"Entire rental unit",1180
2015-06-08,TRUE,"Top 5","Entire home/apt",2,155,4.89,89,1,1.21,1,1,0,2020-02-08,"yes",FALSE,"Entire rental unit",620
2013-02-12,FALSE,"Top 6-10","Entire home/apt",2,97,4.67,61,3,0.81,1,1,4,2019-05-27,"no",FALSE,"Entire rental unit",388
2015-06-05,FALSE,"Top 6-10","Private room",2,70,4.7,10,4,0.2,1,1,0,2017-08-30,"no",FALSE,"Private room in rental unit",280
2014-09-25,FALSE,"Top 11-15","Entire home/apt",4,150,4.84,44,3,0.68,2,2,0,2019-06-23,"no",FALSE,"Other",600
2015-06-09,FALSE,"Top 6-10","Entire home/apt",3,225,5,5,1,0.07,1,2,0,2016-09-13,"no",FALSE,"Entire rental unit",900
2012-07-01,FALSE,"Top 5","Entire home/apt",2,4,4.85,14,2,0.19,1,1,0,2017-09-17,"no",FALSE,"Entire rental unit",16
2015-06-09,FALSE,"Top 11-15","Entire home/apt",5,135,3,2,3,0.03,3,5,0,2017-08-09,"no",FALSE,"Entire residential home",540
2015-02-13,FALSE,"Top 6-10","Entire home/apt",2,64,5,2,2,0.03,1,1,0,2017-07-16,"no",FALSE,"Entire rental unit",256
2015-05-11,FALSE,"Top 5","Entire home/apt",2,140,4.85,13,2,0.17,1,1,0,2015-08-16,"no",TRUE,"Entire rental unit",560
2015-05-05,FALSE,"Top 6-10","Entire home/apt",2,166,4.71,31,2,0.58,1,1,0,2019-10-22,"yes",FALSE,"Entire rental unit",664
2015-06-10,FALSE,"Top 5","Entire home/apt",2,164,4.94,32,4,0.46,1,1,0,2019-08-02,"yes",TRUE,"Entire rental unit",656
2013-02-25,FALSE,"Top 6-10","Entire home/apt",4,120,4.86,14,4,0.19,3,3,0,2017-08-17,"no",FALSE,"Entire residential home",480
2013-04-24,FALSE,"Top 5","Entire home/apt",2,110,4.38,18,2,0.27,1,1,0,2017-11-24,"no",TRUE,"Entire rental unit",440
2012-03-11,TRUE,"Top 6-10","Private room",2,95,4.81,241,3,3.48,1,1,4,2021-08-20,"yes",TRUE,"Other",380
2015-06-06,TRUE,"Top 6-10","Entire home/apt",6,340,4.92,117,3,1.63,3,4,0,2021-07-24,"no",FALSE,"Entire rental unit",1360
2015-06-12,TRUE,"Top 5","Entire home/apt",4,200,4.87,152,2,2.04,2,2,21,2019-07-09,"yes",FALSE,"Entire rental unit",800
2015-06-10,FALSE,"Top 6-10","Entire home/apt",2,110,4.33,24,2,0.32,1,1,0,2017-07-01,"no",FALSE,"Entire rental unit",440
2015-06-10,FALSE,"Top 11-15","Entire home/apt",4,90,4.79,14,3,0.19,3,4,0,2017-08-17,"no",FALSE,"Entire rental unit",360
2012-06-17,FALSE,"Top 11-15","Entire home/apt",3,90,5,3,2,0.04,2,3,0,2015-07-25,"no",FALSE,"Entire rental unit",360
2015-05-11,FALSE,"Top 11-15","Private room",2,65,4,7,1,0.09,1,1,0,2015-12-06,"no",FALSE,"Private room in rental unit",260
2013-11-25,FALSE,"Top 6-10","Entire home/apt",2,121,4.75,54,3,0.73,1,1,0,2019-08-24,"yes",TRUE,"Entire rental unit",484
2015-06-13,FALSE,"Top 5","Entire home/apt",5,279,4.88,16,4,0.21,4,5,0,2017-08-27,"yes",FALSE,"Entire townhouse",1116
2015-06-13,FALSE,"Top 6-10","Entire home/apt",2,180,4.33,12,3,0.2,1,1,6,2017-09-17,"no",FALSE,"Entire rental unit",720
2014-06-09,FALSE,"Top 6-10","Entire home/apt",2,129,4.8,50,2,0.68,1,1,0,2017-05-22,"yes",TRUE,"Entire rental unit",516
2012-07-11,FALSE,"Top 6-10","Entire home/apt",4,195,4.69,52,3,0.7,2,0,0,2018-06-09,"yes",FALSE,"Entire residential home",780
2015-06-14,TRUE,"Top 6-10","Entire home/apt",4,245,4.91,44,2,0.6,3,5,0,2017-04-23,"no",FALSE,"Entire rental unit",980
2009-12-10,FALSE,"Top 6-10","Entire home/apt",4,629,4.86,18,1,0.25,3,4,14,2019-05-05,"yes",FALSE,"Other",2516
2012-09-19,FALSE,"Top 5","Entire home/apt",4,135,4.76,18,3,0.24,2,4,0,2016-08-02,"no",FALSE,"Entire rental unit",540
2015-06-14,FALSE,"Top 11-15","Entire home/apt",4,77,4.89,36,2,0.58,3,3,0,2019-12-31,"yes",FALSE,"Entire residential home",308
2015-06-14,FALSE,"Top 6-10","Entire home/apt",2,200,4.78,50,2,0.67,1,1,29,2019-11-21,"no",FALSE,"Entire rental unit",800
2013-09-13,FALSE,"Top 6-10","Entire home/apt",2,119,4.75,8,3,0.11,1,1,0,2016-05-01,"no",FALSE,"Entire residential home",476
2015-06-10,FALSE,"Top 5","Entire home/apt",2,210,4.75,4,2,0.05,1,1,0,2015-06-30,"no",FALSE,"Entire rental unit",840
2014-02-18,FALSE,"Top 6-10","Entire home/apt",2,86,4.93,16,2,0.21,1,1,0,2015-07-08,"no",FALSE,"Entire rental unit",344
2013-08-24,FALSE,"Top 5","Entire home/apt",6,325,5,2,3,0.03,4,4,0,2015-08-10,"no",FALSE,"Entire residential home",1300
2014-03-10,FALSE,"Top 5","Entire home/apt",2,194,4.65,51,3,0.7,1,1,1,2021-07-03,"yes",FALSE,"Other",776
2013-05-25,FALSE,"Top 6-10","Entire home/apt",2,110,5,15,2,0.25,1,1,0,2017-06-17,"no",FALSE,"Entire residential home",440
2014-03-07,FALSE,"Top 5","Entire home/apt",2,100,4.92,25,4,0.33,1,1,0,2018-07-03,"no",FALSE,"Entire rental unit",400
2012-10-31,TRUE,"Top 5","Entire home/apt",4,165,4.77,49,2,0.65,2,3,0,2019-09-01,"no",FALSE,"Entire rental unit",660
2013-09-12,FALSE,"Top 6-10","Entire home/apt",2,110,4.97,32,2,0.6,1,0,0,2018-08-10,"yes",FALSE,"Entire rental unit",440
2015-03-01,FALSE,"Top 6-10","Entire home/apt",4,210,4.5,4,1,0.05,2,2,0,2015-09-15,"no",FALSE,"Entire rental unit",840
2015-06-02,FALSE,"Top 5","Entire home/apt",6,499,4.82,28,2,0.65,4,6,0,2018-08-05,"no",FALSE,"Entire residential home",1996
2014-12-01,TRUE,"Top 11-15","Entire home/apt",4,119,4.91,34,3,0.45,3,4,3,2019-06-15,"yes",FALSE,"Entire rental unit",476
2015-06-08,FALSE,"Top 6-10","Entire home/apt",2,90,4.63,8,3,0.11,1,1,0,2016-01-07,"no",FALSE,"Entire rental unit",360
2015-06-16,FALSE,"Top 6-10","Entire home/apt",4,120,4.8,5,2,0.07,2,4,0,2015-08-04,"no",FALSE,"Entire rental unit",480
2013-09-30,FALSE,"Top 6-10","Entire home/apt",2,89,4.42,75,2,1.01,1,1,9,2020-02-09,"no",FALSE,"Entire rental unit",356
2013-11-16,FALSE,"Top 5","Entire home/apt",2,148,4.8,5,4,0.07,1,1,1,2015-07-02,"yes",FALSE,"Other",592
2012-04-01,FALSE,"Top 5","Entire home/apt",2,132,4.67,3,3,0.05,1,1,0,2017-07-03,"no",FALSE,"Entire rental unit",528
2013-05-03,TRUE,"Top 6-10","Entire home/apt",2,240,5,64,4,0.85,1,1,0,2020-01-01,"yes",FALSE,"Other",960
2015-06-16,FALSE,"Top 5","Entire home/apt",5,350,5,20,3,0.27,3,4,0,2017-05-28,"no",FALSE,"Entire residential home",1400
2013-12-05,TRUE,"Top 5","Entire home/apt",2,279,4.99,77,3,1.04,1,1,0,2019-08-02,"no",FALSE,"Other",1116
2015-06-18,FALSE,"Top 5","Entire home/apt",2,157,4.68,20,4,0.35,1,1,0,2019-04-29,"no",FALSE,"Entire rental unit",628
2012-08-20,FALSE,"Top 5","Entire home/apt",2,99,4.67,53,2,0.93,1,1,2,2020-02-15,"yes",FALSE,"Entire rental unit",396
2015-05-05,FALSE,"Top 5","Entire home/apt",2,120,4.6,5,2,0.07,3,3,0,2015-10-01,"no",FALSE,"Entire rental unit",480
2015-06-18,FALSE,"Top 6-10","Entire home/apt",4,175,4.8,5,3,0.08,2,4,0,2016-05-17,"no",FALSE,"Entire rental unit",700
2013-07-04,TRUE,"Top 5","Entire home/apt",6,350,4.84,106,2,1.49,4,7,9,2021-08-05,"yes",FALSE,"Other",1400
2015-06-15,FALSE,"Top 5","Entire home/apt",2,85,5,1,1,0.01,1,1,0,2015-12-01,"no",FALSE,"Entire residential home",340
2015-06-18,FALSE,"Top 5","Entire home/apt",4,250,4.78,10,3,0.14,2,2,0,2018-06-04,"no",FALSE,"Entire rental unit",1000
2013-08-28,FALSE,"Top 6-10","Private room",2,79,4.25,4,4,0.05,1,1,0,2016-01-05,"no",FALSE,"Other",316
2014-04-02,TRUE,"Top 5","Entire home/apt",2,70,4.86,118,1,1.6,1,1,0,2019-08-24,"no",FALSE,"Other",280
2014-09-29,FALSE,"Top 6-10","Entire home/apt",2,110,4.8,5,3,0.07,1,1,0,2016-05-30,"no",FALSE,"Entire rental unit",440
2015-06-20,FALSE,"Top 11-15","Entire home/apt",4,129,5,3,2,0.05,4,4,0,2015-06-28,"no",FALSE,"Entire rental unit",516
2015-06-20,TRUE,"Top 6-10","Private room",2,86,4.79,272,3,3.62,1,1,0,2019-11-25,"yes",FALSE,"Private room in rental unit",344
2015-01-17,FALSE,"Top 5","Entire home/apt",4,250,4.84,20,3,0.27,4,4,0,2019-08-14,"no",FALSE,"Entire townhouse",1000
2015-06-20,FALSE,"Top 6-10","Entire home/apt",4,176,4.62,58,4,0.77,2,2,0,2019-10-02,"no",FALSE,"Entire rental unit",704
2013-08-07,FALSE,"Top 5","Entire home/apt",4,450,5,2,2,0.03,3,6,0,2015-08-10,"no",FALSE,"Other",1800
2013-09-30,FALSE,"Top 6-10","Entire home/apt",2,161,4.88,26,2,0.42,1,1,0,2019-03-24,"no",FALSE,"Entire rental unit",644
2013-12-05,TRUE,"Top 6-10","Entire home/apt",2,145,4.67,3,3,0.06,1,1,0,2017-08-12,"no",FALSE,"Other",580
2014-08-09,FALSE,"Top 5","Entire home/apt",2,115,4.67,12,3,0.19,1,1,0,2017-10-29,"no",FALSE,"Other",460
2014-06-28,FALSE,"Remaining","Entire home/apt",8,250,4.5,2,4,0.03,4,4,0,2016-07-14,"no",FALSE,"Entire residential home",1000
2015-01-23,FALSE,"Top 5","Entire home/apt",2,132,4.7,37,3,0.56,1,1,0,2018-10-23,"yes",FALSE,"Entire rental unit",528
2013-05-27,FALSE,"Top 11-15","Entire home/apt",6,109,5,7,4,0.14,4,6,0,2018-08-14,"no",FALSE,"Entire townhouse",436
2015-01-18,FALSE,"Top 5","Private room",2,79,4.7,46,2,0.64,1,2,0,2017-12-12,"no",FALSE,"Other",316
2015-06-21,FALSE,"Top 5","Entire home/apt",2,150,4.85,21,2,0.29,1,1,0,2019-09-18,"no",FALSE,"Entire rental unit",600
2014-01-27,FALSE,"Top 11-15","Entire home/apt",3,100,5,4,4,0.05,2,3,0,2017-08-06,"no",FALSE,"Entire rental unit",400
2015-06-23,FALSE,"Top 5","Entire home/apt",2,180,4.65,27,3,0.74,1,1,0,2019-02-19,"no",FALSE,"Entire rental unit",720
2015-06-01,FALSE,"Top 5","Entire home/apt",4,500,4.86,14,3,0.27,3,3,21,2019-07-27,"yes",FALSE,"Other",2000
2014-06-04,FALSE,"Top 6-10","Entire home/apt",2,99,5,3,2,0.06,1,1,0,2018-09-21,"no",FALSE,"Entire rental unit",396
2015-06-23,FALSE,"Top 6-10","Entire home/apt",2,140,5,1,2,0.01,1,1,0,2015-08-08,"no",FALSE,"Entire rental unit",560
2014-05-19,FALSE,"Top 5","Entire home/apt",2,95,4.67,4,2,0.05,1,1,0,2015-09-01,"no",FALSE,"Entire rental unit",380
2015-06-24,FALSE,"Top 6-10","Entire home/apt",4,150,4.73,15,3,0.2,2,3,0,2021-08-02,"yes",TRUE,"Other",600
2013-07-22,FALSE,"Top 11-15","Private room",2,75,4.67,3,2,0.04,1,1,0,2015-08-07,"no",FALSE,"Other",300
2015-06-14,FALSE,"Top 6-10","Entire home/apt",2,110,4.83,6,2,0.08,1,1,27,2016-05-10,"no",FALSE,"Entire rental unit",440
